회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
삼미금속,"""012210""",기타 금속 가공제품 제조업,상용차/중장비/선박엔진 부품,2023-05-16,2023-12-01,김경남,http://www.sammiforge.co.kr,경상남도
키움제8호스팩,"""446840""",금융 지원 서비스업,기업 인수합병,2023-05-17,2023-12-01,송현길,,서울특별시
트루엔,"""417790""",영상 및 음향기기 제조업,"IP 카메라, 영상스트리밍솔루션, IoT기기 및 서비스",2023-05-17,2023-12-01,안재천,http://truen.co.kr,서울특별시
에스바이오메딕스,"""304360""",의약품 제조업,줄기세포 치료제 연구 및 개발,2023-05-04,2023-12-01,강세일,http://www.sbiomedics.com/,서울특별시
슈어소프트테크,"""298830""",소프트웨어 개발 및 공급업,소프트웨어 자동화 검증 플랫폼,2023-04-28,2023-12-01,배현섭,http://www.suresofttech.com/,경기도
토마토시스템,"""393210""",소프트웨어 개발 및 공급업,"UI/UX솔루션, 대학정보화사업 SW",2023-04-27,2023-12-01,이상돈,http://tomatosystem.co.kr/,서울특별시
마이크로투나노,"""424980""",반도체 제조업,메모리 테스트용 프로브 카드,2023-04-26,2023-12-01,황규호,http://micro2nano.com,경기도
셀바이오휴먼텍,"""318160""",기타 섬유제품 제조업,마스크팩 섬유소재(시트),2023-04-20,2023-12-01,이권선,http://cellbiohumantech.co.kr/,경기도
SK오션플랜트,"""100090""",1차 철강 제조업,해상풍력 하부구조물,2023-04-19,2023-12-01,이승철,http://www.skoceanplant.com/,경상남도
노보믹스,"""283100""",자연과학 및 공학 연구개발업,위암 예후예측 진단키트,2023-04-19,2023-12-01,허용민,http://novomics.com/,서울특별시
삼성FN리츠,"""448730""",부동산 임대 및 공급업,대치타워 및 에스원빌딩,2023-04-10,2023-01-01,윤양수,http://www.samsungfnreit.com/,서울특별시
현대그린푸드,"""453340""",종합 소매업,"푸드서비스(단체급식), 식자재유통서비스, 공산품/생식품 유통서비스",2023-04-10,2023-12-01,박홍진,http://hyundaigreenfood.com,경기도
미래에셋비전스팩3호,"""448830""",금융 지원 서비스업,기업인수목적회사(기타금융서비스),2023-04-07,2023-12-01,권유현,,서울특별시
IBKS제22호스팩,"""448760""",금융 지원 서비스업,기업인수 및 합병,2023-04-06,2023-12-01,김정현,,서울특별시
하나27호스팩,"""448370""",금융 지원 서비스업,기업인수합병,2023-04-06,2023-12-01,김철우,,서울특별시
한화갤러리아,"""452260""",종합 소매업,백화점,2023-03-31,2023-12-01,김은수,http://www.hanwhagalleria.co.kr,서울특별시
지아이이노베이션,"""358570""",자연과학 및 공학 연구개발업,면역항암제 및 알레르기 치료제,2023-03-30,2023-12-01,"이병건, 홍준호",http://www.gi-innovation.com/kr/,서울특별시
LB인베스트먼트,"""309960""",기타 금융업,중소기업 창업투자,2023-03-29,2023-12-01,박기호,http://lbinvestment.com/,서울특별시
한화리츠,"""451800""",부동산 임대 및 공급업,부동산투자,2023-03-27,2023-04-01,한화자산운용,,서울특별시
유안타제12호스팩,"""446150""",금융 지원 서비스업,기업인수합병,2023-03-17,2023-12-01,오희열,,서울특별시
엑스게이트,"""356680""",소프트웨어 개발 및 공급업,통합 네트워크 보안 솔루션,2023-03-16,2023-12-01,주갑수,http://www.axgate.com,서울특별시
미래에셋드림스팩1호,"""442900""",금융 지원 서비스업,기업인수합병,2023-03-15,2023-12-01,박장우,,서울특별시
금양그린파워,"""282720""",전기 및 통신 공사업,"플랜트, 발전소 및 신재생에너지 발전소 공사 및 용역",2023-03-13,2023-12-01,"이윤철, 이기보",http://www.kygp.co.kr,울산광역시
라온텍,"""418420""",전자부품 제조업,"마이크로디스플레이, 컨트롤러 IC",2023-03-09,2023-12-01,김보은,RAON.io,경기도
엔에이치스팩28호,"""450410""",금융 지원 서비스업,기타 금융 지원 서비스업,2023-03-09,2023-12-01,안은지,,서울특별시
자람테크놀로지,"""389020""",반도체 제조업,"XGSPON, 기가와이어, 광트랜시버 등",2023-03-07,2023-12-01,백준현,http://zaram.com,경기도
하나26호스팩,"""446750""",금융 지원 서비스업,기업인수합병,2023-03-07,2023-12-01,박진오,,서울특별시
나노팀,"""417010""",일반 목적용 기계 제조업,전기차용 방열제품,2023-03-03,2023-12-01,최윤성,http://www.nanotim.co.kr,대전광역시
바이오인프라,"""199730""",자연과학 및 공학 연구개발업,"생동성시험, 검체 분석",2023-03-02,2023-12-01,이상득,http://bioinfrakorea.co.kr,경기도
